epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,997.242,0.55713,0.49433,0.89915,0.99299,0.90909,0.90538,0.68766,0.84186,0.59044,1.04054,0.0008516,0.0008516,0.0008516
60,1014.56,0.51268,0.44487,0.88107,0.99387,0.90909,0.90543,0.71045,0.82271,0.57816,1.02138,0.0008318,0.0008318,0.0008318
61,1031.34,0.5371,0.47784,0.91457,0.99423,0.90909,0.90547,0.70064,0.84345,0.58626,1.02086,0.000812,0.000812,0.000812
62,1047.85,0.58686,0.48662,0.88143,0.99339,0.90909,0.90549,0.6709,0.91242,0.5599,1.02631,0.0007922,0.0007922,0.0007922
63,1064.62,0.57801,0.47067,0.88408,0.99384,0.90909,0.90739,0.65638,0.87856,0.61077,1.01802,0.0007724,0.0007724,0.0007724
64,1081.32,0.56406,0.48417,0.89329,0.9825,0.90909,0.9055,0.70745,0.84486,0.61692,1.00855,0.0007526,0.0007526,0.0007526
65,1097.68,0.57243,0.47141,0.87847,0.9851,0.90909,0.9055,0.68718,0.82659,0.60734,1.00658,0.0007328,0.0007328,0.0007328
66,1114.48,0.5782,0.44954,0.88377,0.99343,0.90909,0.90554,0.70521,0.78282,0.6015,0.99002,0.000713,0.000713,0.000713
67,1131.26,0.57489,0.44937,0.87628,0.99449,0.90909,0.90557,0.69611,0.78018,0.55576,1.00558,0.0006932,0.0006932,0.0006932
68,1148.29,0.57877,0.42718,0.88048,0.99421,0.90909,0.90553,0.69799,0.76215,0.565,0.99171,0.0006734,0.0006734,0.0006734
69,1164.78,0.55504,0.43315,0.88663,0.99382,0.90909,0.90553,0.68377,0.82215,0.5611,1.00927,0.0006536,0.0006536,0.0006536
70,1181.06,0.58041,0.45275,0.91164,0.99211,0.90909,0.90556,0.71174,0.88312,0.60974,1.03151,0.0006338,0.0006338,0.0006338
71,1197.34,0.52368,0.43901,0.865,0.98257,0.90909,0.90562,0.70437,0.86221,0.56368,1.04241,0.000614,0.000614,0.000614
72,1214.28,0.51232,0.42333,0.8674,0.9853,0.90909,0.90565,0.7072,0.84356,0.55251,1.03629,0.0005942,0.0005942,0.0005942
73,1230.96,0.45681,0.41791,0.87177,0.98563,0.90909,0.90569,0.72756,0.83546,0.5626,1.0249,0.0005744,0.0005744,0.0005744
74,1247.68,0.50264,0.40984,0.85401,0.99131,0.90909,0.90574,0.70849,0.82958,0.54705,1.01191,0.0005546,0.0005546,0.0005546
75,1264.39,0.53462,0.42009,0.86095,0.99268,0.90909,0.90573,0.72512,0.81321,0.54243,1.00733,0.0005348,0.0005348,0.0005348
