epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3132.99,0.618,0.45809,0.87573,0.99756,1,0.995,0.89912,0.50459,0.39936,0.84615,0.000363239,0.000363239,0.000363239
81,3173.35,0.56327,0.45185,0.91071,0.99778,1,0.995,0.91024,0.48365,0.40077,0.84129,0.000346736,0.000346736,0.000346736
82,3213.41,0.61676,0.45216,0.88576,0.99749,1,0.995,0.88317,0.56226,0.42468,0.86253,0.000330233,0.000330233,0.000330233
83,3253.77,0.58927,0.44778,0.84824,0.99757,1,0.995,0.88295,0.5622,0.42358,0.86618,0.000313729,0.000313729,0.000313729
84,3294.18,0.58835,0.44952,0.88565,0.99813,1,0.995,0.9091,0.44872,0.38415,0.84023,0.000297226,0.000297226,0.000297226
85,3334,0.62771,0.45967,0.88069,0.99814,1,0.995,0.91105,0.44948,0.38969,0.83939,0.000280723,0.000280723,0.000280723
86,3374.09,0.57449,0.4347,0.86377,0.99757,1,0.995,0.87009,0.57697,0.41441,0.86061,0.00026422,0.00026422,0.00026422
87,3414.66,0.62459,0.45213,0.89731,0.99768,1,0.995,0.88511,0.53083,0.40169,0.84859,0.000247716,0.000247716,0.000247716
88,3454.39,0.56784,0.4281,0.86714,0.99805,1,0.995,0.92754,0.43975,0.37363,0.83342,0.000231213,0.000231213,0.000231213
89,3494.4,0.55707,0.4211,0.88812,0.9979,1,0.995,0.90694,0.47551,0.38291,0.84075,0.00021471,0.00021471,0.00021471
90,3534.9,0.62305,0.46619,0.85959,0.99766,1,0.995,0.88612,0.54984,0.39986,0.85576,0.000198206,0.000198206,0.000198206
91,3574.93,0.5181,0.39475,0.83702,0.99776,1,0.995,0.90111,0.50062,0.38529,0.84593,0.000181703,0.000181703,0.000181703
92,3614.68,0.49431,0.39151,0.81894,0.99776,1,0.995,0.9175,0.43521,0.37407,0.83161,0.0001652,0.0001652,0.0001652
93,3654.38,0.51449,0.41002,0.84869,0.99778,1,0.995,0.913,0.46049,0.38217,0.83532,0.000148696,0.000148696,0.000148696
94,3694.37,0.46327,0.38151,0.83079,0.99824,1,0.995,0.87674,0.55629,0.4037,0.85672,0.000132193,0.000132193,0.000132193
95,3733.89,0.47755,0.36987,0.83421,0.99815,1,0.995,0.86792,0.57511,0.40649,0.86177,0.00011569,0.00011569,0.00011569
96,3773.85,0.48233,0.37629,0.82106,0.99847,1,0.995,0.87432,0.54636,0.39762,0.85275,9.91865e-05,9.91865e-05,9.91865e-05
97,3813.24,0.47359,0.37527,0.80589,0.99853,1,0.995,0.88187,0.52797,0.3913,0.84683,8.26832e-05,8.26832e-05,8.26832e-05
98,3852.47,0.50921,0.37998,0.82837,0.99859,1,0.995,0.89018,0.51479,0.38429,0.84353,6.61799e-05,6.61799e-05,6.61799e-05
99,3892.08,0.48657,0.37228,0.83699,0.99862,1,0.995,0.89584,0.51285,0.38219,0.84328,4.96766e-05,4.96766e-05,4.96766e-05
100,3931.85,0.45969,0.36419,0.7965,0.99864,1,0.995,0.88936,0.51684,0.38168,0.84391,3.31733e-05,3.31733e-05,3.31733e-05
